,GBDT,Lasso,Rfr
0,1.204972669992541,1.2615489237745656,1.9867495485260696
1,1.1540932317582995,1.2531352906937867,1.9557065311315196
2,1.1826553894562777,1.2499477070715646,1.9789255332815934
3,1.1839319438672817,1.2160623168060551,1.978862682783505
4,1.1712339310024467,1.250893982651469,1.9601501397557786
5,1.1337869843524877,1.2584452634761645,2.0092460766004145
6,1.2781754313894262,1.3166354247805494,1.9881178965769177
7,1.1433749193404188,1.226849084262513,2.015001402726891
8,1.107858043063417,1.2479633775882273,1.9570858817398789
9,1.1186895513099684,1.3231260412544306,1.9269177761380674
